policy_id,state,effective_date,annual_premium,vehicle_age
POL100110,NJ,2025-01-26,1437.53,5
POL100111,FL,2024-05-08,1618.24,10
POL100112,NY,2024-07-22,1288.94,9
POL100113,NY,2025-02-06,750.23,9
POL100114,PA,2024-05-25,1234.64,5
POL100115,NY,2024-08-29,2080.02,8
POL100116,CT,2024-11-14,1417.92,2
POL100117,PA,2024-10-02,1552.15,5
POL100118,PA,2025-04-24,1362.88,5
POL100119,NY,2024-05-14,1236.19,11
POL100120,NY,2024-10-24,787.63,7
POL100121,NY,2025-01-14,1270.22,0
POL100122,PA,2024-07-21,946.75,13
POL100123,PA,2024-08-16,998.14,13
POL100124,NY,2024-03-11,685.65,9
POL100125,FL,2024-10-27,1332.34,2
POL100126,NY,2025-02-22,832.22,15
POL100127,FL,2024-01-13,957.33,14
POL100128,PA,2024-11-23,928.5,8
POL100129,NY,2025-01-11,1828.13,10
POL100130,NY,2024-02-09,815.47,3
POL100131,FL,2024-11-13,1391.61,0
POL100132,FL,2025-02-07,781.13,0
POL100133,NY,2024-12-21,823.46,12
POL100134,PA,2024-06-07,893.84,3
POL100135,CT,2024-11-06,1185.39,11
POL100136,NJ,2024-05-21,1446.68,3
POL100137,CT,2024-04-15,946.45,4
POL100138,PA,2024-07-02,1512.86,7
POL100139,NJ,2024-10-24,1632.24,5
POL100140,CT,2025-02-12,1015.37,14
POL100141,PA,2025-02-20,608.96,9
POL100142,NJ,2024-03-17,966.7,8
POL100143,CT,2025-05-04,2161.51,15
POL100144,NY,2024-09-10,1270.76,15
POL100145,NY,2024-10-02,2285.1,4
POL100146,CT,2024-06-02,828.65,2
POL100147,CT,2024-02-21,1318.52,2
POL100148,FL,2024-11-11,530.71,4
POL100149,NJ,2024-03-21,1666.57,15
POL100150,PA,2025-01-22,862.62,12
POL100151,FL,2025-01-26,1951.9,6
POL100152,NY,2025-05-08,682.81,4
POL100153,NJ,2024-02-27,1734.18,8
POL100154,NJ,2025-06-29,1496.11,2
POL100155,FL,2024-08-28,954.3,5
POL100156,PA,2024-01-02,1466.51,12
POL100157,NJ,2024-03-30,1625.83,8
POL100158,NJ,2025-02-06,1498.72,13
POL100159,PA,2024-06-10,1139.05,4
POL100160,NY,2024-05-18,1062.79,7
POL100161,NY,2024-10-13,1121.71,11
POL100162,NY,2025-02-25,1301.98,13
POL100163,NJ,2024-03-21,785.99,15
POL100164,PA,2024-05-28,1684.2,11
POL100165,PA,2024-06-02,815.0,12
POL100166,PA,2024-12-10,918.3,6
POL100167,NY,2024-05-12,834.08,11
POL100168,CT,2025-06-27,1144.36,4
POL100169,NJ,2025-02-14,819.42,15
POL100170,PA,2024-10-10,728.5,9
POL100171,CT,2024-08-06,1295.49,3
POL100172,NY,2024-12-30,934.21,13
POL100173,PA,2024-12-12,1667.39,3
POL100174,PA,2024-02-07,519.5,2
POL100175,PA,2024-11-29,1451.35,3
POL100176,FL,2025-05-21,1670.08,7
POL100177,FL,2025-05-23,966.37,10
POL100178,FL,2024-01-23,905.09,8
POL100179,FL,2025-06-08,1175.66,11
POL100180,NY,2024-05-12,1400.89,1
POL100181,PA,2025-05-21,2018.41,9
POL100182,FL,2024-02-26,1061.89,7
POL100183,NY,2025-05-16,936.34,4
POL100184,NY,2024-04-13,1549.47,14
POL100185,PA,2024-04-23,1101.87,2
POL100186,FL,2025-03-16,442.43,2
POL100187,PA,2024-01-28,871.73,13
POL100188,FL,2024-01-18,1281.48,9
POL100189,NJ,2024-05-23,440.33,4
POL100190,FL,2024-06-03,752.94,9
POL100191,NJ,2025-02-11,1293.39,11
POL100192,FL,2025-06-13,1022.05,11
POL100193,NY,2024-09-27,1161.14,6
POL100194,FL,2024-10-22,819.93,15
POL100195,NY,2024-07-10,722.09,1
POL100196,NY,2024-06-03,1066.77,9
POL100197,PA,2024-04-18,948.68,6
POL100198,NJ,2024-01-01,880.69,2
POL100199,CT,2024-08-13,748.0,2
POL100200,NY,2024-09-14,887.28,2
POL100201,NJ,2024-12-26,1376.86,1
POL100202,FL,2024-06-10,2281.71,5
POL100203,NJ,2024-12-24,732.54,7
POL100204,NY,2024-12-16,858.05,7
POL100205,NY,2025-04-29,1587.76,4
POL100206,NJ,2024-05-18,1122.64,15
POL100207,CT,2024-12-11,1038.66,10
POL100208,FL,2024-03-07,1020.81,6
POL100209,NY,2025-05-09,475.39,14
POL100210,NJ,2025-04-22,1097.28,4
POL100211,NY,2024-03-14,802.79,5
POL100212,FL,2024-02-27,1454.54,6
POL100213,FL,2025-06-22,1241.37,1
POL100214,PA,2025-01-28,754.94,3
POL100215,NY,2024-04-02,998.14,1
POL100216,NJ,2025-03-28,1662.11,2
POL100217,NY,2024-03-22,626.38,14
POL100218,NJ,2024-08-13,702.38,4
POL100219,NY,2024-05-18,860.73,10
POL100220,PA,2025-01-18,435.09,10
POL100221,PA,2025-04-23,583.27,11
POL100222,NY,2025-02-01,1082.83,1
POL100223,PA,2024-04-24,784.59,2
POL100224,PA,2024-04-07,1434.78,1
POL100225,CT,2025-01-18,1049.89,8
POL100226,FL,2025-03-15,676.43,15
POL100227,PA,2024-03-13,1488.47,8
POL100228,PA,2025-05-01,1205.53,7
POL100229,PA,2024-03-08,1466.3,4
POL100230,NY,2025-03-08,970.39,6
POL100231,FL,2025-06-28,859.17,3
POL100232,PA,2025-04-04,1014.51,15
POL100233,NJ,2025-02-07,707.69,3
POL100234,NY,2024-02-13,1879.39,8
POL100235,NY,2025-02-18,1767.86,9
POL100236,NJ,2025-03-04,803.92,10
POL100237,NY,2025-06-29,1049.8,4
POL100238,NY,2024-12-30,728.6,5
POL100239,NY,2024-12-01,1078.23,1
POL100240,NY,2025-02-03,1226.5,12
POL100241,NY,2024-12-23,829.66,13
POL100242,NJ,2024-04-22,984.4,5
POL100243,FL,2025-05-14,983.27,9
POL100244,FL,2025-06-17,1483.36,6
POL100245,NJ,2025-05-05,1405.55,2
POL100246,FL,2024-09-03,3071.98,5
POL100247,NY,2025-05-19,1031.28,1
POL100248,NJ,2025-03-06,1077.15,5
POL100249,NJ,2024-09-03,1329.29,15
POL100250,CT,2025-05-12,924.38,2
POL100251,PA,2024-09-21,1427.82,7
POL100252,NY,2024-10-27,1118.33,6
POL100253,NY,2024-11-12,1290.07,3
POL100254,PA,2024-08-30,1210.27,12
POL100255,FL,2024-07-10,1123.18,11
POL100256,NJ,2025-05-07,541.47,12
POL100257,CT,2024-01-26,1865.97,10
POL100258,PA,2024-09-12,2397.89,11
POL100259,NY,2024-09-20,862.25,12
POL100260,FL,2024-09-24,1039.1,5
POL100261,FL,2025-02-10,1039.08,15
POL100262,FL,2024-07-18,1809.77,5
POL100263,NJ,2024-07-29,1287.22,4
POL100264,NY,2025-06-21,1652.22,15
POL100265,PA,2024-03-20,796.11,3
POL100266,FL,2025-04-05,1820.07,12
POL100267,NJ,2024-01-23,1062.88,7
POL100268,CT,2024-11-09,1170.52,3
POL100269,CT,2025-04-22,1535.93,11
POL100270,PA,2024-08-02,776.26,5
POL100271,NJ,2024-06-12,753.07,3
POL100272,PA,2025-03-16,1452.22,13
POL100273,NJ,2025-01-15,763.09,1
POL100274,NY,2024-04-04,962.06,12
POL100275,PA,2024-09-10,713.63,15
POL100276,NY,2024-11-25,1240.16,4
POL100277,PA,2025-04-05,971.85,11
POL100278,NY,2025-06-27,1037.84,2
POL100279,PA,2024-09-18,937.16,8
POL100280,PA,2025-04-08,1494.39,14
POL100281,NY,2024-11-10,735.6,5
POL100282,NY,2024-11-16,827.51,9
POL100283,FL,2024-08-07,1456.4,11
POL100284,NY,2025-01-13,809.88,9
POL100285,PA,2024-05-03,413.16,2
POL100286,NY,2024-11-03,1518.75,7
POL100287,NJ,2024-02-13,1063.7,2
POL100288,PA,2024-08-05,1573.04,13
POL100289,PA,2024-08-07,1019.78,1
POL100290,PA,2024-03-27,1616.26,6
POL100291,FL,2025-05-28,1733.1,14
POL100292,FL,2025-06-29,1108.11,2
POL100293,NY,2024-02-11,1193.71,12
POL100294,CT,2024-12-09,712.88,15
POL100295,NJ,2024-04-08,1156.72,15
POL100296,FL,2024-01-21,1296.96,5
POL100297,PA,2025-06-28,776.57,13
POL100298,FL,2024-01-08,1004.14,3
POL100299,NJ,2024-12-04,979.48,15
POL100300,FL,2024-02-20,874.99,5
POL100301,NJ,2024-06-04,1128.75,9
POL100302,PA,2025-02-18,1683.77,7
POL100303,PA,2024-07-20,1955.27,11
POL100304,NY,2024-02-18,1200.99,3
POL100305,PA,2024-09-29,699.32,14
POL100306,NY,2024-01-14,734.91,5
POL100307,NJ,2024-03-10,1443.22,8
POL100308,FL,2025-02-15,1175.8,7
POL100309,NY,2024-12-18,998.4,14
POL100310,NY,2024-08-28,601.98,13
POL100311,FL,2024-01-15,1046.5,4
POL100312,NJ,2024-12-18,878.07,8
POL100313,NJ,2024-01-25,1096.21,5
POL100314,PA,2024-07-01,675.52,8
POL100315,NJ,2024-08-13,775.46,6
POL100316,NY,2025-04-02,1537.7,8
POL100317,NJ,2025-04-05,830.95,8
POL100318,NY,2025-01-29,969.15,3
POL100319,PA,2025-04-18,1393.06,7
POL100320,FL,2024-05-21,921.8,11
POL100321,NY,2024-11-30,763.72,8
POL100322,NY,2024-01-25,1051.79,8
POL100323,PA,2024-03-21,1192.08,13
POL100324,NY,2024-01-20,1645.9,11
POL100325,NY,2024-02-20,1045.72,9
POL100326,FL,2024-11-28,1927.88,12
POL100327,NY,2024-02-25,896.27,13
POL100328,NJ,2025-02-21,1318.98,9
POL100329,NY,2024-12-27,640.58,9
POL100330,FL,2024-09-28,378.03,1
POL100331,PA,2024-07-19,732.68,14
POL100332,PA,2024-09-17,880.2,13
POL100333,NY,2025-03-17,1157.26,9
POL100334,FL,2024-09-23,1166.06,10
POL100335,NJ,2025-06-03,665.35,9
POL100336,FL,2025-06-15,924.65,12
POL100337,NY,2025-01-14,1444.83,6
POL100338,PA,2024-08-19,893.98,15
POL100339,PA,2024-04-18,1263.0,11
POL100340,FL,2024-02-26,869.87,6
POL100341,NY,2025-05-21,2004.94,11
POL100342,NJ,2025-04-05,803.13,6
POL100343,PA,2024-02-03,1431.43,9
POL100344,PA,2024-08-29,1089.43,4
POL100345,NJ,2025-03-21,1520.01,6
POL100346,NY,2024-06-21,949.92,12
POL100347,NJ,2025-01-27,578.88,3
POL100348,FL,2025-02-08,1344.21,11
POL100349,NY,2024-09-30,894.23,8
POL100350,FL,2024-03-13,1174.81,3
POL100351,CT,2024-05-15,962.73,5
POL100352,NY,2025-03-01,1542.93,3
POL100353,PA,2024-04-30,1397.9,6
POL100354,PA,2025-01-25,711.44,15
POL100355,PA,2024-12-09,1657.71,13
POL100356,FL,2025-03-17,1051.47,8
POL100357,NY,2025-03-29,1295.68,15
POL100358,NY,2024-06-03,1881.12,15
POL100359,NJ,2025-03-04,749.82,0
POL100360,NY,2025-01-26,1947.23,14
POL100361,PA,2025-03-20,1037.03,3
POL100362,FL,2024-12-18,1520.72,9
POL100363,FL,2024-01-07,504.18,3
POL100364,NY,2024-03-28,1162.49,14
POL100365,FL,2025-05-16,1092.7,12
POL100366,PA,2025-04-08,828.4,11
POL100367,NY,2024-07-13,892.15,14
POL100368,PA,2024-11-05,1175.53,14
POL100369,NJ,2024-09-09,620.14,13
POL100370,FL,2024-10-05,1259.05,13
POL100371,NY,2025-02-01,642.21,12
POL100372,NY,2025-02-12,1431.89,4
POL100373,NJ,2025-05-22,814.08,0
POL100374,NJ,2024-10-14,1319.01,11
POL100375,FL,2025-03-24,997.58,13
POL100376,PA,2025-04-26,1034.18,10
POL100377,FL,2025-06-21,1841.05,12
POL100378,NY,2024-06-26,2233.58,5
POL100379,FL,2024-11-15,1570.98,1
POL100380,NY,2025-04-08,952.66,12
POL100381,FL,2024-12-21,1374.11,12
POL100382,FL,2025-02-02,1273.9,7
POL100383,CT,2025-03-06,1160.82,8
POL100384,NY,2025-02-02,1184.7,10
POL100385,PA,2024-04-01,628.04,14
POL100386,FL,2024-03-29,773.53,5
POL100387,NJ,2024-02-19,1067.71,5
POL100388,NJ,2024-12-29,1254.46,15
POL100389,NJ,2024-12-13,1545.69,15
POL100390,NJ,2024-12-31,1159.48,13
POL100391,NJ,2025-05-14,1215.07,5
POL100392,PA,2024-07-20,2079.68,15
POL100393,NY,2024-09-10,1511.7,12
POL100394,NJ,2024-08-07,700.28,11
POL100395,FL,2024-05-04,1173.19,8
POL100396,NY,2024-06-06,1366.59,3
POL100397,FL,2024-08-25,656.15,12
POL100398,NY,2025-05-24,1272.15,9
POL100399,NJ,2024-03-13,1135.18,13
POL100400,PA,2025-05-13,1424.73,11
POL100401,PA,2025-02-19,573.19,3
POL100402,FL,2025-05-17,909.08,8
POL100403,PA,2024-01-22,856.76,7
POL100404,NY,2024-04-27,612.62,0
POL100405,NY,2024-04-22,870.66,15
POL100406,NJ,2025-02-10,1872.87,11
POL100407,PA,2024-01-02,1291.49,8
POL100408,FL,2024-06-17,1249.17,1
POL100409,NJ,2025-01-21,1859.64,14
POL100410,NJ,2025-06-17,1379.48,3
POL100411,NY,2024-05-19,689.12,6
POL100412,NJ,2024-06-23,1022.77,14
POL100413,PA,2024-05-16,1207.16,0
POL100414,FL,2024-05-18,692.77,9
POL100415,PA,2024-05-22,1414.89,7
POL100416,NY,2024-02-06,696.76,1
POL100417,NY,2024-03-30,1030.26,3
POL100418,NY,2024-11-19,881.5,11
POL100419,FL,2024-10-30,1039.72,3
POL100420,NY,2024-06-05,2565.08,0
POL100421,NY,2025-05-13,1359.45,14
POL100422,CT,2025-02-14,1431.1,0
POL100423,FL,2024-01-13,1373.98,14
POL100424,NJ,2025-01-16,2124.58,15
POL100425,FL,2024-05-02,762.57,10
POL100426,NY,2025-05-05,1702.06,11
POL100427,PA,2025-01-22,1006.03,8
POL100428,NJ,2024-04-12,717.36,15
POL100429,FL,2024-03-15,761.06,10
POL100430,NY,2024-03-05,975.74,15
POL100431,NY,2024-09-10,1418.81,1
POL100432,FL,2024-02-09,993.46,6
POL100433,FL,2025-03-13,505.3,11
POL100434,NJ,2024-05-20,931.0,14
POL100435,PA,2024-11-21,869.05,3
POL100436,FL,2025-01-08,1927.43,10
POL100437,NY,2024-07-23,918.42,1
POL100438,FL,2024-01-25,822.36,14
POL100439,CT,2025-01-31,1192.62,13
POL100440,CT,2025-05-19,1987.68,7
POL100441,FL,2024-02-20,453.23,0
POL100442,PA,2024-03-13,865.72,3
POL100443,PA,2024-12-12,794.94,10
POL100444,NJ,2025-03-18,1327.89,5
POL100445,PA,2024-07-19,1649.78,6
POL100446,NY,2025-01-31,1834.06,5
POL100447,NY,2024-10-09,714.27,12
POL100448,CT,2024-09-09,761.87,2
POL100449,NY,2025-02-15,1273.73,10
POL100450,PA,2024-03-12,1080.79,10
POL100451,PA,2025-05-22,868.85,9
POL100452,NY,2024-03-17,1104.0,5
POL100453,NJ,2024-10-27,773.19,3
POL100454,PA,2024-06-23,883.18,4
POL100455,PA,2024-10-01,1298.06,14
POL100456,NY,2025-01-24,1115.95,15
POL100457,NY,2025-01-21,1447.65,0
POL100458,NY,2024-12-15,1086.49,14
POL100459,NY,2025-06-26,1135.35,13
POL100460,CT,2024-04-01,1244.89,1
POL100461,FL,2024-06-24,1077.02,8
POL100462,FL,2024-02-23,1255.45,10
POL100463,NJ,2025-05-19,940.86,7
POL100464,PA,2024-08-26,1094.26,3
POL100465,NJ,2024-06-24,1359.59,2
POL100466,NJ,2024-10-08,519.02,13
POL100467,FL,2025-02-20,901.79,9
POL100468,NJ,2024-02-28,1359.56,8
POL100469,NJ,2024-10-27,1095.79,5
POL100470,NY,2025-02-28,739.84,7
POL100471,FL,2025-02-26,1152.3,13
POL100472,NJ,2024-04-24,662.27,10
POL100473,PA,2024-07-19,960.51,6
POL100474,PA,2025-01-09,1362.85,2
POL100475,NJ,2024-08-03,659.54,13
POL100476,NJ,2024-02-26,1318.63,12
POL100477,FL,2024-08-01,586.2,1
POL100478,PA,2024-02-06,1181.14,11
POL100479,CT,2025-02-08,1035.33,12
POL100480,FL,2024-05-24,1168.62,1
POL100481,FL,2025-01-25,1588.34,6
POL100482,NJ,2025-03-18,697.11,11
POL100483,FL,2024-12-22,1615.72,14
POL100484,NJ,2025-06-08,1463.69,10
POL100485,NJ,2024-07-13,984.14,13
POL100486,NJ,2025-01-08,754.69,1
POL100487,NY,2025-06-03,729.79,15
POL100488,FL,2025-05-23,2098.5,0
POL100489,PA,2025-02-07,1909.93,9
POL100490,FL,2025-02-17,1086.43,7
POL100491,FL,2024-05-22,1313.72,6
POL100492,PA,2024-07-08,1522.26,1
POL100493,NJ,2024-02-05,1091.81,5
POL100494,NJ,2024-06-10,1065.52,4
POL100495,NJ,2025-06-17,1422.52,6
POL100496,NJ,2024-11-19,719.83,14
POL100497,NY,2024-09-01,652.82,5
POL100498,NY,2024-06-24,804.94,4
POL100499,NY,2024-01-28,1500.72,9
POL100500,NJ,2024-06-02,1572.09,10
POL100501,FL,2024-03-16,2031.46,11
POL100502,FL,2024-04-10,1106.05,2
POL100503,NY,2024-12-18,1445.62,2
POL100504,CT,2025-03-19,1068.14,5
POL100505,NJ,2024-04-23,1102.91,8
POL100506,CT,2024-06-08,1048.27,5
POL100507,PA,2024-02-28,715.85,13
POL100508,CT,2024-10-28,2051.19,3
POL100509,NJ,2024-07-17,1218.04,12
POL100510,NY,2024-08-06,1309.83,4
POL100511,FL,2024-04-21,1678.55,15
POL100512,NJ,2024-01-24,716.6,7
POL100513,FL,2024-05-27,1444.8,4
POL100514,PA,2025-01-17,1153.0,11
POL100515,NY,2024-05-19,1048.71,10
POL100516,NY,2024-04-14,687.76,8
POL100517,PA,2025-05-01,811.5,6
POL100518,FL,2025-05-09,1236.94,5
POL100519,NY,2024-08-27,1607.41,9
POL100520,NY,2025-03-08,996.89,7
POL100521,NY,2024-08-30,532.68,4
POL100522,NJ,2024-05-29,1710.65,8
POL100523,NY,2024-01-22,1459.54,8
POL100524,NY,2025-03-15,691.55,14
POL100525,NJ,2025-03-19,614.4,5
POL100526,CT,2024-03-10,1428.89,2
POL100527,NY,2024-11-13,732.73,14
POL100528,PA,2025-03-31,1017.07,4
POL100529,CT,2024-12-28,1351.49,10
POL100530,NJ,2024-04-25,1484.31,4
POL100531,FL,2024-04-15,905.25,5
POL100532,NY,2024-05-10,1012.74,4
POL100533,NY,2025-03-02,934.8,1
POL100534,NY,2025-06-07,765.72,5
POL100535,CT,2024-08-31,1918.87,3
POL100536,NY,2025-06-25,1269.97,4
POL100537,CT,2024-02-21,910.87,3
POL100538,NY,2024-06-14,982.44,13
POL100539,FL,2024-05-10,1108.63,6
POL100540,NJ,2024-12-29,1371.36,12
POL100541,NY,2025-02-01,1198.62,11
POL100542,NJ,2024-01-08,864.18,8
POL100543,PA,2025-06-07,1019.45,15
POL100544,PA,2024-02-08,1015.07,0
POL100545,NY,2024-07-28,727.72,15
POL100546,PA,2025-06-30,1095.6,5
POL100547,NJ,2025-01-28,1242.86,14
POL100548,FL,2025-05-13,1478.71,15
POL100549,FL,2024-04-29,840.1,8
POL100550,NY,2025-03-20,667.19,8
POL100551,NJ,2025-03-13,1778.9,7
POL100552,FL,2024-11-29,1952.03,0
POL100553,NJ,2024-03-05,1089.83,5
POL100554,FL,2025-03-30,940.74,7
POL100555,FL,2024-05-19,1825.42,1
POL100556,NY,2025-06-04,937.11,10
POL100557,FL,2025-02-11,1562.14,11
POL100558,PA,2025-06-24,1506.83,13
POL100559,FL,2024-04-26,1022.57,10
POL100560,NJ,2025-01-02,620.51,15
POL100561,NJ,2025-05-19,719.95,5
POL100562,PA,2025-04-02,746.8,9
POL100563,NJ,2024-02-13,1342.09,15
POL100564,PA,2025-05-20,1032.59,10
POL100565,NY,2025-01-15,1239.32,10
POL100566,NJ,2025-06-12,1599.89,5
POL100567,NJ,2025-02-10,1379.12,3
POL100568,FL,2024-01-28,559.75,2
POL100569,NJ,2024-01-04,1022.86,7
POL100570,NJ,2025-05-25,1334.99,2
POL100571,FL,2024-02-18,1126.14,4
POL100572,PA,2024-04-18,2555.79,9
POL100573,NY,2024-05-18,1061.93,7
POL100574,NY,2024-02-12,1334.54,10
POL100575,CT,2025-04-25,1036.15,8
POL100576,NY,2024-08-05,1114.74,15
POL100577,FL,2024-12-15,604.85,12
POL100578,NJ,2025-02-05,1062.14,3
POL100579,PA,2024-08-07,1375.51,15
POL100580,PA,2025-03-26,1020.45,0
POL100581,NJ,2025-03-13,859.88,3
POL100582,FL,2024-01-23,440.14,13
POL100583,FL,2024-12-22,1972.13,5
POL100584,FL,2024-06-13,1523.64,14
POL100585,FL,2024-07-22,854.35,14
POL100586,CT,2024-11-22,1219.25,15
POL100587,FL,2024-05-07,1256.26,12
POL100588,FL,2024-04-02,1187.01,7
POL100589,PA,2025-06-30,1411.79,13
POL100590,FL,2025-06-23,1066.63,0
POL100591,NY,2024-07-31,1120.7,8
POL100592,PA,2025-04-27,1234.08,9
POL100593,CT,2025-06-26,1048.06,15
POL100594,NY,2025-04-26,1953.63,3
POL100595,PA,2024-01-16,631.03,1
POL100596,NY,2024-02-23,939.31,7
POL100597,NJ,2024-10-19,979.2,0
POL100598,NY,2024-04-24,1081.79,0
POL100599,NY,2025-05-20,820.28,11
POL100600,CT,2024-10-12,1176.26,13
POL100601,NY,2024-12-19,976.84,15
POL100602,NJ,2024-10-20,890.34,12
POL100603,NJ,2024-08-02,757.61,10
POL100604,CT,2024-10-16,1449.38,3
POL100605,NJ,2025-01-25,611.48,10
POL100606,NJ,2024-01-24,885.55,7
POL100607,PA,2024-03-10,930.62,6
POL100608,FL,2024-08-20,1334.33,1
POL100609,NJ,2025-03-14,1138.08,15
POL100610,PA,2024-03-31,1659.39,13
POL100611,FL,2024-02-07,1039.69,1
POL100612,NY,2024-09-24,879.77,11
POL100613,CT,2025-03-06,938.04,9
POL100614,NY,2025-02-03,467.1,8
POL100615,NY,2025-02-17,951.75,6
POL100616,NY,2024-01-27,1427.48,13
POL100617,NJ,2025-05-26,1127.17,11
POL100618,PA,2024-12-06,1052.38,12
POL100619,NY,2025-05-16,801.73,0
POL100620,CT,2025-02-24,700.87,5
POL100621,CT,2024-04-24,978.19,0
POL100622,FL,2025-02-13,1120.31,6
POL100623,NY,2025-05-09,404.89,1
POL100624,NY,2024-05-31,1358.77,3
POL100625,FL,2025-05-31,614.41,1
POL100626,CT,2025-05-25,1367.41,4
POL100627,NY,2025-06-21,780.3,14
POL100628,FL,2024-12-09,1536.85,7
POL100629,PA,2024-11-21,811.69,6
POL100630,NJ,2024-07-11,1011.96,3
POL100631,PA,2024-11-02,1047.61,7
POL100632,FL,2025-05-17,1410.21,1
POL100633,PA,2025-06-10,727.87,5
POL100634,NY,2024-08-14,814.92,4
POL100635,NJ,2024-02-04,1671.93,12
POL100636,NY,2024-12-13,1199.11,7
POL100637,NJ,2024-05-01,963.46,10
POL100638,NY,2025-04-13,1562.89,15
